x_mm,L_mm,r_mag,p_norm
1.442886,2.50,0.95,0.09334852
1.447896,2.50,0.95,0.73207415
1.452906,2.50,0.95,1.41063868
1.457916,2.50,0.95,1.83954516
1.462926,2.50,0.95,1.94216175
1.467936,2.50,0.95,1.70022037
1.472946,2.50,0.95,1.15681790
1.477956,2.50,0.95,0.40987978
1.482966,2.50,0.95,0.41738592
1.487976,2.50,0.95,1.16303154
1.492986,2.50,0.95,1.70399144
1.497996,2.50,0.95,1.94281766
1.503006,2.50,0.95,1.83696911
1.508016,2.50,0.95,1.40528933
1.513026,2.50,0.95,0.72491259
1.518036,2.50,0.95,0.09994403
1.523046,2.50,0.95,0.88212546
1.528056,2.50,0.95,1.51943424
1.533066,2.50,0.95,1.88757525
1.538076,2.50,0.95,1.92087417
1.543086,2.50,0.95,1.61340360
1.548096,2.50,0.95,1.01996548
1.553106,2.50,0.95,0.24908315
1.558116,2.50,0.95,0.57627779
1.563126,2.50,0.95,1.29121120
1.568136,2.50,0.95,1.77802851
1.573146,2.50,0.95,1.94951403
1.578156,2.50,0.95,1.77513297
1.583166,2.50,0.95,1.28593603
1.588176,2.50,0.95,0.56957891
1.593186,2.50,0.95,0.25591808
1.598196,2.50,0.95,1.02594636
1.603206,2.50,0.95,1.61733970
1.608216,2.50,0.95,1.92206238
1.613226,2.50,0.95,1.88580396
1.618236,2.50,0.95,1.51501860
1.623246,2.50,0.95,0.87585539
1.628257,2.50,0.95,0.09392243
1.633267,2.50,0.95,0.73142116
1.638277,2.50,0.95,1.41015204
1.643287,2.50,0.95,1.83931120
1.648297,2.50,0.95,1.94222173
1.653307,2.50,0.95,1.70056325
1.658317,2.50,0.95,1.15738197
1.663327,2.50,0.95,0.41055793
1.668337,2.50,0.95,0.41669937
1.673347,2.50,0.95,1.16246584
1.678357,2.50,0.95,1.70364865
1.683367,2.50,0.95,1.94275835
1.688377,2.50,0.95,1.83720348
1.693387,2.50,0.95,1.40577522
1.698397,2.50,0.95,0.72556152
1.703407,2.50,0.95,0.09931881
1.708417,2.50,0.95,0.88149702
1.713427,2.50,0.95,1.51899243
1.718437,2.50,0.95,1.88739831
1.723447,2.50,0.95,1.92099320
