d_over_lambda,d_um,Zin_real_MRayl,Zin_imag_MRayl,Zin_mag_MRayl,T_power,T_dB
1.623812,121.7859,0.372212,-1.507057,1.552341,0.04748489,-13.2344
1.625813,121.9360,0.363215,-1.470716,1.514903,0.04636928,-13.3377
1.627814,122.0860,0.354645,-1.435192,1.478360,0.04530515,-13.4385
1.629815,122.2361,0.346477,-1.400447,1.442670,0.04428966,-13.5370
1.631816,122.3862,0.338688,-1.366448,1.407796,0.04332013,-13.6331
1.633817,122.5363,0.331258,-1.333162,1.373701,0.04239410,-13.7269
1.635818,122.6863,0.324166,-1.300559,1.340350,0.04150926,-13.8186
1.637819,122.8364,0.317394,-1.268609,1.307711,0.04066346,-13.9080
1.639820,122.9865,0.310926,-1.237284,1.275753,0.03985468,-13.9952
1.641821,123.1366,0.304744,-1.206557,1.244447,0.03908105,-14.0803
1.643822,123.2866,0.298835,-1.176404,1.213766,0.03834081,-14.1634
1.645823,123.4367,0.293184,-1.146800,1.183684,0.03763231,-14.2444
1.647824,123.5868,0.287779,-1.117722,1.154175,0.03695403,-14.3234
1.649825,123.7369,0.282608,-1.089149,1.125217,0.03630452,-14.4004
1.651826,123.8869,0.277658,-1.061060,1.096787,0.03568242,-14.4755
1.653827,124.0370,0.272921,-1.033435,1.068865,0.03508646,-14.5486
1.655828,124.1871,0.268384,-1.006254,1.041430,0.03451547,-14.6199
1.657829,124.3372,0.264041,-0.979499,1.014463,0.03396832,-14.6893
1.659830,124.4872,0.259881,-0.953153,0.987947,0.03344395,-14.7568
1.661831,124.6373,0.255896,-0.927200,0.961864,0.03294139,-14.8226
1.663832,124.7874,0.252079,-0.901623,0.936199,0.03245969,-14.8866
1.665833,124.9375,0.248423,-0.876407,0.910935,0.03199800,-14.9488
1.667834,125.0875,0.244921,-0.851537,0.886059,0.03155548,-15.0093
1.669835,125.2376,0.241566,-0.826999,0.861557,0.03113137,-15.0680
1.671836,125.3877,0.238352,-0.802779,0.837416,0.03072492,-15.1251
1.673837,125.5378,0.235274,-0.778864,0.813624,0.03033546,-15.1805
1.675838,125.6878,0.232327,-0.755242,0.790169,0.02996234,-15.2342
1.677839,125.8379,0.229505,-0.731901,0.767041,0.02960493,-15.2864
1.679840,125.9880,0.226804,-0.708828,0.744229,0.02926268,-15.3369
1.681841,126.1381,0.224220,-0.686012,0.721725,0.02893503,-15.3858
1.683842,126.2881,0.221747,-0.663444,0.699521,0.02862147,-15.4331
1.685843,126.4382,0.219383,-0.641111,0.677608,0.02832152,-15.4788
1.687844,126.5883,0.217123,-0.619004,0.655979,0.02803472,-15.5230
1.689845,126.7384,0.214964,-0.597113,0.634628,0.02776064,-15.5657
1.691846,126.8884,0.212903,-0.575428,0.613551,0.02749887,-15.6069
1.693847,127.0385,0.210936,-0.553941,0.592743,0.02724904,-15.6465
1.695848,127.1886,0.209061,-0.532641,0.572200,0.02701078,-15.6846
1.697849,127.3387,0.207275,-0.511521,0.551921,0.02678376,-15.7213
1.699850,127.4887,0.205575,-0.490572,0.531904,0.02656764,-15.7565
1.701851,127.6388,0.203959,-0.469785,0.512150,0.02636214,-15.7902
1.703852,127.7889,0.202425,-0.449153,0.492661,0.02616696,-15.8225
1.705853,127.9390,0.200970,-0.428668,0.473440,0.02598185,-15.8533
1.707854,128.0890,0.199593,-0.408322,0.454493,0.02580654,-15.8827
1.709855,128.2391,0.198291,-0.388108,0.435829,0.02564081,-15.9107
1.711856,128.3892,0.197062,-0.368018,0.417458,0.02548444,-15.9372
1.713857,128.5393,0.195906,-0.348046,0.399393,0.02533722,-15.9624
1.715858,128.6893,0.194821,-0.328183,0.381654,0.02519896,-15.9862
1.717859,128.8394,0.193804,-0.308425,0.364261,0.02506947,-16.0085
1.719860,128.9895,0.192856,-0.288763,0.347242,0.02494860,-16.0295
1.721861,129.1396,0.191973,-0.269191,0.330632,0.02483619,-16.0491
1.723862,129.2896,0.191157,-0.249703,0.314472,0.02473210,-16.0674
