theta_deg,R_glass,R_glass_dB,T_glass,R_pdms,R_pdms_dB,T_pdms,R_acrylic,R_acrylic_dB,T_acrylic,R_open,R_open_dB,T_open
41.90,1.00000000,0.0000,0.00000000,0.06323032,-11.9907,0.93676968,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
42.00,1.00000000,0.0000,0.00000000,0.06347796,-11.9738,0.93652204,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
42.10,1.00000000,0.0000,0.00000000,0.06372714,-11.9568,0.93627286,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
42.20,1.00000000,0.0000,0.00000000,0.06397789,-11.9397,0.93602211,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
42.30,1.00000000,0.0000,0.00000000,0.06423020,-11.9226,0.93576980,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
42.40,1.00000000,0.0000,0.00000000,0.06448410,-11.9055,0.93551590,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
42.50,1.00000000,0.0000,0.00000000,0.06473959,-11.8883,0.93526041,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
42.60,1.00000000,0.0000,0.00000000,0.06499668,-11.8711,0.93500332,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
42.70,1.00000000,0.0000,0.00000000,0.06525538,-11.8538,0.93474462,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
42.80,1.00000000,0.0000,0.00000000,0.06551571,-11.8365,0.93448429,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
42.90,1.00000000,0.0000,0.00000000,0.06577768,-11.8192,0.93422232,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
43.00,1.00000000,0.0000,0.00000000,0.06604129,-11.8018,0.93395871,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
43.10,1.00000000,0.0000,0.00000000,0.06630656,-11.7844,0.93369344,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
43.20,1.00000000,0.0000,0.00000000,0.06657350,-11.7670,0.93342650,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
43.30,1.00000000,0.0000,0.00000000,0.06684212,-11.7495,0.93315788,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
43.40,1.00000000,0.0000,0.00000000,0.06711243,-11.7320,0.93288757,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
43.50,1.00000000,0.0000,0.00000000,0.06738445,-11.7144,0.93261555,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
43.60,1.00000000,0.0000,0.00000000,0.06765818,-11.6968,0.93234182,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
43.70,1.00000000,0.0000,0.00000000,0.06793364,-11.6792,0.93206636,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
43.80,1.00000000,0.0000,0.00000000,0.06821083,-11.6615,0.93178917,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
43.90,1.00000000,0.0000,0.00000000,0.06848978,-11.6437,0.93151022,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
44.00,1.00000000,0.0000,0.00000000,0.06877049,-11.6260,0.93122951,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
44.10,1.00000000,0.0000,0.00000000,0.06905298,-11.6082,0.93094702,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
44.20,1.00000000,0.0000,0.00000000,0.06933725,-11.5903,0.93066275,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
44.30,1.00000000,0.0000,0.00000000,0.06962332,-11.5725,0.93037668,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
44.40,1.00000000,0.0000,0.00000000,0.06991120,-11.5545,0.93008880,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
44.50,1.00000000,0.0000,0.00000000,0.07020091,-11.5366,0.92979909,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
44.60,1.00000000,0.0000,0.00000000,0.07049245,-11.5186,0.92950755,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
44.70,1.00000000,0.0000,0.00000000,0.07078584,-11.5005,0.92921416,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
44.80,1.00000000,0.0000,0.00000000,0.07108110,-11.4825,0.92891890,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
44.90,1.00000000,0.0000,0.00000000,0.07137823,-11.4643,0.92862177,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
45.00,1.00000000,0.0000,0.00000000,0.07167724,-11.4462,0.92832276,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
45.10,1.00000000,0.0000,0.00000000,0.07197816,-11.4280,0.92802184,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
45.20,1.00000000,0.0000,0.00000000,0.07228099,-11.4098,0.92771901,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
45.30,1.00000000,0.0000,0.00000000,0.07258575,-11.3915,0.92741425,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
45.40,1.00000000,0.0000,0.00000000,0.07289245,-11.3732,0.92710755,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
45.50,1.00000000,0.0000,0.00000000,0.07320110,-11.3548,0.92679890,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
45.60,1.00000000,0.0000,0.00000000,0.07351172,-11.3364,0.92648828,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
45.70,1.00000000,0.0000,0.00000000,0.07382433,-11.3180,0.92617567,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
45.80,1.00000000,0.0000,0.00000000,0.07413892,-11.2995,0.92586108,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
45.90,1.00000000,0.0000,0.00000000,0.07445553,-11.2810,0.92554447,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
46.00,1.00000000,0.0000,0.00000000,0.07477416,-11.2625,0.92522584,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
46.10,1.00000000,0.0000,0.00000000,0.07509483,-11.2439,0.92490517,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
46.20,1.00000000,0.0000,0.00000000,0.07541754,-11.2253,0.92458246,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
46.30,1.00000000,0.0000,0.00000000,0.07574233,-11.2066,0.92425767,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
46.40,1.00000000,0.0000,0.00000000,0.07606919,-11.1879,0.92393081,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
46.50,1.00000000,0.0000,0.00000000,0.07639814,-11.1692,0.92360186,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
46.60,1.00000000,0.0000,0.00000000,0.07672921,-11.1504,0.92327079,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
46.70,1.00000000,0.0000,0.00000000,0.07706240,-11.1316,0.92293760,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
46.80,1.00000000,0.0000,0.00000000,0.07739773,-11.1127,0.92260227,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
46.90,1.00000000,0.0000,0.00000000,0.07773521,-11.0938,0.92226479,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
47.00,1.00000000,0.0000,0.00000000,0.07807486,-11.0749,0.92192514,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
47.10,1.00000000,0.0000,0.00000000,0.07841670,-11.0559,0.92158330,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
47.20,1.00000000,0.0000,0.00000000,0.07876073,-11.0369,0.92123927,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
47.30,1.00000000,0.0000,0.00000000,0.07910698,-11.0179,0.92089302,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
47.40,1.00000000,0.0000,0.00000000,0.07945546,-10.9988,0.92054454,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
47.50,1.00000000,0.0000,0.00000000,0.07980619,-10.9796,0.92019381,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
47.60,1.00000000,0.0000,0.00000000,0.08015917,-10.9605,0.91984083,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
47.70,1.00000000,0.0000,0.00000000,0.08051444,-10.9413,0.91948556,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
47.80,1.00000000,0.0000,0.00000000,0.08087200,-10.9220,0.91912800,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
47.90,1.00000000,0.0000,0.00000000,0.08123187,-10.9027,0.91876813,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
48.00,1.00000000,0.0000,0.00000000,0.08159406,-10.8834,0.91840594,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
48.10,1.00000000,0.0000,0.00000000,0.08195860,-10.8641,0.91804140,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
48.20,1.00000000,0.0000,0.00000000,0.08232550,-10.8447,0.91767450,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
48.30,1.00000000,0.0000,0.00000000,0.08269477,-10.8252,0.91730523,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
48.40,1.00000000,0.0000,0.00000000,0.08306644,-10.8057,0.91693356,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
48.50,1.00000000,0.0000,0.00000000,0.08344052,-10.7862,0.91655948,1.00000000,0.0000,0.00000000,0.00000000,-300.0000,1.00000000
