d_mm,d_over_lambda,T_power,T_power_dB,amplitude_factor,alpha_Npm,loss_per_wall_dB
8.2816,5.961921,2.12237735,3.2682,1.456838,42.6836,-3.0704
8.3114,5.983418,2.15281246,3.3301,1.467247,42.6836,-3.0814
8.3413,6.004914,2.16437573,3.3533,1.471182,42.6836,-3.0925
8.3711,6.026410,2.15606006,3.3366,1.468353,42.6836,-3.1036
8.4010,6.047906,2.12933672,3.2824,1.459225,42.6836,-3.1146
8.4309,6.069402,2.08780455,3.1969,1.444924,42.6836,-3.1257
8.4607,6.090898,2.03639842,3.0886,1.427024,42.6836,-3.1368
8.4906,6.112394,1.98046827,2.9677,1.407291,42.6836,-3.1478
8.5204,6.133890,1.92501746,2.8443,1.387450,42.6836,-3.1589
8.5503,6.155386,1.87424562,2.7283,1.369031,42.6836,-3.1700
8.5802,6.176882,1.83139126,2.6278,1.353289,42.6836,-3.1811
8.6100,6.198379,1.79878316,2.5498,1.341187,42.6836,-3.1921
8.6399,6.219875,1.77799358,2.4993,1.333414,42.6836,-3.2032
8.6697,6.241371,1.77000796,2.4798,1.330416,42.6836,-3.2143
8.6996,6.262867,1.77535804,2.4929,1.332426,42.6836,-3.2253
8.7295,6.284363,1.79418965,2.5387,1.339474,42.6836,-3.2364
8.7593,6.305859,1.82625256,2.6156,1.351389,42.6836,-3.2475
8.7892,6.327355,1.87080913,2.7203,1.367775,42.6836,-3.2585
8.8190,6.348851,1.92646899,2.8476,1.387973,42.6836,-3.2696
8.8489,6.370347,1.99097489,2.9907,1.411019,42.6836,-3.2807
8.8788,6.391843,2.06099544,3.1408,1.435617,42.6836,-3.2918
8.9086,6.413339,2.13202201,3.2879,1.460145,42.6836,-3.3028
8.9385,6.434836,2.19850169,3.4213,1.482735,42.6836,-3.3139
8.9683,6.456332,2.25432961,3.5302,1.501443,42.6836,-3.3250
8.9982,6.477828,2.29372858,3.6054,1.514506,42.6836,-3.3360
9.0281,6.499324,2.31235861,3.6406,1.520644,42.6836,-3.3471
9.0579,6.520820,2.30830773,3.6329,1.519312,42.6836,-3.3582
9.0878,6.542316,2.28256800,3.5842,1.510817,42.6836,-3.3692
9.1176,6.563812,2.23878691,3.5001,1.496258,42.6836,-3.3803
9.1475,6.585308,2.18240979,3.3894,1.477298,42.6836,-3.3914
9.1774,6.606804,2.11957509,3.2625,1.455876,42.6836,-3.4025
9.2072,6.628300,2.05614547,3.1305,1.433927,42.6836,-3.4135
9.2371,6.649797,1.99709498,3.0040,1.413186,42.6836,-3.4246
9.2669,6.671293,1.94627418,2.8920,1.395089,42.6836,-3.4357
9.2968,6.692789,1.90645082,2.8023,1.380743,42.6836,-3.4467
9.3267,6.714285,1.87949180,2.7404,1.370946,42.6836,-3.4578
9.3565,6.735781,1.86657715,2.7105,1.366227,42.6836,-3.4689
9.3864,6.757277,1.86837694,2.7146,1.366886,42.6836,-3.4800
9.4162,6.778773,1.88515495,2.7535,1.373009,42.6836,-3.4910
9.4461,6.800269,1.91678277,2.8257,1.384479,42.6836,-3.5021
9.4760,6.821765,1.96265817,2.9284,1.400949,42.6836,-3.5132
9.5058,6.843261,2.02153115,3.0568,1.421806,42.6836,-3.5242
9.5357,6.864758,2.09125633,3.2041,1.446118,42.6836,-3.5353
9.5655,6.886254,2.16852210,3.3616,1.472590,42.6836,-3.5464
9.5954,6.907750,2.24865477,3.5192,1.499552,42.6836,-3.5574
9.6253,6.929246,2.32564841,3.6654,1.525008,42.6836,-3.5685
9.6551,6.950742,2.39258827,3.7887,1.546799,42.6836,-3.5796
9.6850,6.972238,2.44255905,3.8785,1.562869,42.6836,-3.5907
9.7148,6.993734,2.46992714,3.9268,1.571600,42.6836,-3.6017
9.7447,7.015230,2.47162587,3.9298,1.572141,42.6836,-3.6128
9.7745,7.036726,2.44793743,3.8880,1.564589,42.6836,-3.6239
9.8044,7.058222,2.40241862,3.8065,1.549974,42.6836,-3.6349
9.8343,7.079719,2.34100917,3.6940,1.530036,42.6836,-3.6460
9.8641,7.101215,2.27072465,3.5616,1.506892,42.6836,-3.6571
9.8940,7.122711,2.19843148,3.4211,1.482711,42.6836,-3.6681
9.9238,7.144207,2.13002885,3.2839,1.459462,42.6836,-3.6792
9.9537,7.165703,2.07010463,3.1599,1.438786,42.6836,-3.6903
9.9836,7.187199,2.02195352,3.0577,1.421954,42.6836,-3.7014
10.0134,7.208695,1.98779011,2.9837,1.409890,42.6836,-3.7124
10.0433,7.230191,1.96901570,2.9425,1.403216,42.6836,-3.7235
10.0731,7.251687,1.96644918,2.9368,1.402301,42.6836,-3.7346
10.1030,7.273183,1.98047589,2.9677,1.407294,42.6836,-3.7456
10.1329,7.294680,2.01109373,3.0343,1.418130,42.6836,-3.7567
10.1627,7.316176,2.05784864,3.1341,1.434520,42.6836,-3.7678
10.1926,7.337672,2.11965816,3.2627,1.455905,42.6836,-3.7789
10.2224,7.359168,2.19453560,3.4134,1.481397,42.6836,-3.7899
10.2523,7.380664,2.27925613,3.5779,1.509721,42.6836,-3.8010
10.2822,7.402160,2.36905960,3.7458,1.539175,42.6836,-3.8121
10.3120,7.423656,2.45755333,3.9050,1.567659,42.6836,-3.8231
10.3419,7.445152,2.53702656,4.0433,1.592805,42.6836,-3.8342
10.3717,7.466648,2.59934325,4.1486,1.612248,42.6836,-3.8453
10.4016,7.488144,2.63737611,4.2117,1.624000,42.6836,-3.8563
10.4315,7.509641,2.64661696,4.2269,1.626843,42.6836,-3.8674
10.4613,7.531137,2.62634760,4.1935,1.620601,42.6836,-3.8785
10.4912,7.552633,2.57983558,4.1159,1.606187,42.6836,-3.8896
10.5210,7.574129,2.51346314,4.0027,1.585391,42.6836,-3.9006
10.5509,7.595625,2.43520746,3.8654,1.560515,42.6836,-3.9117
10.5808,7.617121,2.35310329,3.7164,1.533983,42.6836,-3.9228
10.6106,7.638617,2.27415622,3.5682,1.508031,42.6836,-3.9338
10.6405,7.660113,2.20384561,3.4318,1.484535,42.6836,-3.9449
10.6703,7.681609,2.14610257,3.3165,1.464958,42.6836,-3.9560
10.7002,7.703105,2.10355522,3.2295,1.450364,42.6836,-3.9670
10.7301,7.724602,2.07785863,3.1762,1.441478,42.6836,-3.9781
10.7599,7.746098,2.06999196,3.1597,1.438747,42.6836,-3.9892
10.7898,7.767594,2.08046347,3.1816,1.442381,42.6836,-4.0003
10.8196,7.789090,2.10939826,3.2416,1.452377,42.6836,-4.0113
10.8495,7.810586,2.15649877,3.3375,1.468502,42.6836,-4.0224
10.8794,7.832082,2.22087392,3.4652,1.490260,42.6836,-4.0335
10.9092,7.853578,2.30074168,3.6187,1.516820,42.6836,-4.0445
10.9391,7.875074,2.39303593,3.7895,1.546944,42.6836,-4.0556
10.9689,7.896570,2.49300280,3.9672,1.578925,42.6836,-4.0667
10.9988,7.918066,2.59395465,4.1396,1.610576,42.6836,-4.0778
11.0287,7.939563,2.68743233,4.2934,1.639339,42.6836,-4.0888
11.0585,7.961059,2.76402565,4.4154,1.662536,42.6836,-4.0999
11.0884,7.982555,2.81491887,4.4947,1.677772,42.6836,-4.1110
11.1182,8.004051,2.83384202,4.5238,1.683402,42.6836,-4.1220
11.1481,8.025547,2.81871844,4.5005,1.678904,42.6836,-4.1331
11.1780,8.047043,2.77225269,4.4283,1.665008,42.6836,-4.1442
11.2078,8.068539,2.70116606,4.3155,1.643522,42.6836,-4.1552
11.2377,8.090035,2.61446906,4.1738,1.616932,42.6836,-4.1663
11.2675,8.111531,2.52154967,4.0167,1.587939,42.6836,-4.1774
11.2974,8.133027,2.43073715,3.8574,1.559082,42.6836,-4.1885
11.3273,8.154524,2.34859248,3.7081,1.532512,42.6836,-4.1995
11.3571,8.176020,2.27981978,3.5790,1.509907,42.6836,-4.2106
11.3870,8.197516,2.22754322,3.4783,1.492496,42.6836,-4.2217
11.4168,8.219012,2.19371183,3.4118,1.481118,42.6836,-4.2327
11.4467,8.240508,2.17947791,3.3835,1.476305,42.6836,-4.2438
11.4766,8.262004,2.18547175,3.3955,1.478334,42.6836,-4.2549
11.5064,8.283500,2.21194200,3.4477,1.487260,42.6836,-4.2659
11.5363,8.304996,2.25875077,3.5387,1.502914,42.6836,-4.2770
11.5661,8.326492,2.32521711,3.6646,1.524866,42.6836,-4.2881
11.5960,8.347988,2.40980688,3.8198,1.552355,42.6836,-4.2992
11.6259,8.369485,2.50968716,3.9962,1.584199,42.6836,-4.3102
11.6557,8.390981,2.62021535,4.1834,1.618708,42.6836,-4.3213
11.6856,8.412477,2.73452683,4.3688,1.653640,42.6836,-4.3324
11.7154,8.433973,2.84350068,4.5385,1.686268,42.6836,-4.3434
11.7453,8.455469,2.93643981,4.6782,1.713604,42.6836,-4.3545
