L_mm,n_organoids,freq_kHz,Q_glass,Q_silicon,contrast_mid_dB_glass,contrast_mid_dB_silicon,F_min_norm_glass,F_min_norm_silicon,F_max_glass,F_max_silicon,T_coupling_741kHz
11.4850,11,710.1891,91.50,132.25,18.5636,22.4357,0.998868,0.998246,9.51965620e-03,6.58367090e-03,0.800819
11.5331,12,771.5208,99.80,144.24,18.5626,22.4341,0.998647,0.997903,1.12354307e-02,7.77025755e-03,0.800819
11.5812,12,768.3167,99.80,144.24,18.5627,22.4342,0.998653,0.997912,1.11422903e-02,7.70584410e-03,0.800819
11.6293,12,765.1391,99.80,144.25,18.5627,22.4342,0.998658,0.997921,1.10503040e-02,7.64222872e-03,0.800819
11.6774,12,761.9876,99.80,144.25,18.5627,22.4342,0.998664,0.997930,1.09594513e-02,7.57939749e-03,0.800819
11.7255,12,758.8621,99.80,144.25,18.5627,22.4343,0.998669,0.997938,1.08697155e-02,7.51733854e-03,0.800819
11.7735,12,755.7620,99.80,144.25,18.5628,22.4343,0.998675,0.997946,1.07810763e-02,7.45603799e-03,0.800819
11.8216,12,752.6872,99.80,144.25,18.5628,22.4344,0.998680,0.997955,1.06935180e-02,7.39548488e-03,0.800819
11.8697,12,749.6373,99.80,144.25,18.5628,22.4344,0.998686,0.997963,1.06070213e-02,7.33566599e-03,0.800819
11.9178,12,746.6121,99.80,144.25,18.5628,22.4344,0.998691,0.997971,1.05215702e-02,7.27656987e-03,0.800819
11.9659,12,743.6111,99.80,144.25,18.5629,22.4345,0.998696,0.997979,1.04371476e-02,7.21818553e-03,0.800819
12.0140,12,740.6342,99.80,144.25,18.5629,22.4345,0.998701,0.997987,1.03537367e-02,7.16050071e-03,0.800819
12.0621,12,737.6810,99.80,144.25,18.5629,22.4346,0.998707,0.997996,1.02713215e-02,7.10350447e-03,0.800819
12.1102,12,734.7513,99.81,144.25,18.5629,22.4346,0.998712,0.998003,1.01898867e-02,7.04718624e-03,0.800819
12.1583,12,731.8447,99.81,144.25,18.5629,22.4346,0.998717,0.998011,1.01094168e-02,6.99153509e-03,0.800819
12.2064,12,728.9611,99.81,144.25,18.5630,22.4347,0.998722,0.998019,1.00298961e-02,6.93654061e-03,0.800819
12.2545,12,726.1001,99.81,144.26,18.5630,22.4347,0.998727,0.998027,9.95131002e-03,6.88219235e-03,0.800819
12.3026,12,723.2614,99.81,144.26,18.5630,22.4347,0.998732,0.998035,9.87364396e-03,6.82848049e-03,0.800819
12.3507,12,720.4449,99.81,144.26,18.5630,22.4348,0.998737,0.998042,9.79688367e-03,6.77539497e-03,0.800819
12.3988,12,717.6502,99.81,144.26,18.5631,22.4348,0.998742,0.998050,9.72101474e-03,6.72292577e-03,0.800819
12.4469,12,714.8772,99.81,144.26,18.5631,22.4348,0.998746,0.998057,9.64602384e-03,6.67106378e-03,0.800819
12.4950,12,712.1254,99.81,144.26,18.5631,22.4349,0.998751,0.998065,9.57189741e-03,6.61979978e-03,0.800819
12.5431,13,768.5110,108.11,156.25,18.5621,22.4333,0.998530,0.997722,1.11482466e-02,7.70996321e-03,0.800819
12.5912,13,765.5754,108.11,156.25,18.5622,22.4334,0.998536,0.997731,1.10632282e-02,7.65116670e-03,0.800819
12.6393,13,762.6622,108.11,156.25,18.5622,22.4334,0.998541,0.997739,1.09791765e-02,7.59303900e-03,0.800819
12.6874,13,759.7710,108.11,156.25,18.5622,22.4335,0.998547,0.997748,1.08960816e-02,7.53557281e-03,0.800819
12.7355,13,756.9017,108.11,156.25,18.5622,22.4335,0.998552,0.997756,1.08139248e-02,7.47875522e-03,0.800819
12.7836,13,754.0540,108.11,156.25,18.5623,22.4335,0.998558,0.997765,1.07326938e-02,7.42257783e-03,0.800819
12.8317,13,751.2276,108.11,156.25,18.5623,22.4336,0.998563,0.997773,1.06523755e-02,7.36703177e-03,0.800819
12.8798,13,748.4224,108.11,156.25,18.5623,22.4336,0.998568,0.997781,1.05729550e-02,7.31210670e-03,0.800819
12.9279,13,745.6380,108.11,156.25,18.5623,22.4337,0.998574,0.997790,1.04944198e-02,7.25779368e-03,0.800819
12.9760,13,742.8742,108.11,156.26,18.5624,22.4337,0.998579,0.997798,1.04167553e-02,7.20408298e-03,0.800819
13.0240,13,740.1309,108.11,156.26,18.5624,22.4337,0.998584,0.997806,1.03399505e-02,7.15096665e-03,0.800819
13.0721,13,737.4077,108.11,156.26,18.5624,22.4338,0.998589,0.997814,1.02639914e-02,7.09843522e-03,0.800819
13.1202,13,734.7045,108.11,156.26,18.5624,22.4338,0.998595,0.997822,1.01888670e-02,7.04648114e-03,0.800819
13.1683,13,732.0211,108.11,156.26,18.5625,22.4339,0.998600,0.997830,1.01145644e-02,6.99509508e-03,0.800819
13.2164,13,729.3572,108.12,156.26,18.5625,22.4339,0.998605,0.997838,1.00410707e-02,6.94426876e-03,0.800819
13.2645,13,726.7126,108.12,156.26,18.5625,22.4339,0.998610,0.997846,9.96837586e-03,6.89399473e-03,0.800819
13.3126,13,724.0871,108.12,156.26,18.5625,22.4340,0.998615,0.997854,9.89646805e-03,6.84426490e-03,0.800819
13.3607,13,721.4805,108.12,156.26,18.5625,22.4340,0.998620,0.997861,9.82533486e-03,6.79507106e-03,0.800819
13.4088,13,718.8926,108.12,156.26,18.5626,22.4340,0.998625,0.997869,9.75496582e-03,6.74640555e-03,0.800819
13.4569,13,716.3232,108.12,156.26,18.5626,22.4341,0.998630,0.997877,9.68535023e-03,6.69826100e-03,0.800819
13.5050,14,768.6777,116.42,168.25,18.5616,22.4325,0.998407,0.997531,1.11534018e-02,7.71352852e-03,0.800819
13.5531,14,765.9499,116.42,168.25,18.5616,22.4326,0.998413,0.997540,1.10743688e-02,7.65887139e-03,0.800819
13.6012,14,763.2413,116.42,168.25,18.5617,22.4326,0.998418,0.997549,1.09961722e-02,7.60479274e-03,0.800819
13.6493,14,760.5519,116.42,168.25,18.5617,22.4327,0.998424,0.997558,1.09188010e-02,7.55128474e-03,0.800819
13.6974,14,757.8813,116.42,168.25,18.5617,22.4327,0.998430,0.997566,1.08422437e-02,7.49833971e-03,0.800819
13.7455,14,755.2295,116.42,168.25,18.5617,22.4327,0.998435,0.997575,1.07664888e-02,7.44594952e-03,0.800819
13.7936,14,752.5961,116.42,168.25,18.5618,22.4328,0.998440,0.997583,1.06915252e-02,7.39410671e-03,0.800819
13.8417,14,749.9810,116.42,168.26,18.5618,22.4328,0.998446,0.997591,1.06173419e-02,7.34280342e-03,0.800819
13.8898,14,747.3841,116.42,168.26,18.5618,22.4328,0.998451,0.997600,1.05439275e-02,7.29203187e-03,0.800819
13.9379,14,744.8050,116.42,168.26,18.5618,22.4329,0.998457,0.997608,1.04712716e-02,7.24178496e-03,0.800819
13.9860,14,742.2437,116.42,168.26,18.5619,22.4329,0.998462,0.997616,1.03993651e-02,7.19205618e-03,0.800819
14.0341,14,739.7000,116.42,168.26,18.5619,22.4330,0.998467,0.997625,1.03281965e-02,7.14283782e-03,0.800819
14.0822,14,737.1736,116.42,168.26,18.5619,22.4330,0.998472,0.997633,1.02577555e-02,7.09412254e-03,0.800819
14.1303,14,734.6644,116.42,168.26,18.5619,22.4330,0.998478,0.997641,1.01880330e-02,7.04590409e-03,0.800819
14.1784,14,732.1723,116.42,168.26,18.5620,22.4331,0.998483,0.997649,1.01190186e-02,6.99817562e-03,0.800819
14.2265,14,729.6970,116.42,168.26,18.5620,22.4331,0.998488,0.997657,1.00507036e-02,6.95093062e-03,0.800819
14.2745,14,727.2384,116.42,168.26,18.5620,22.4331,0.998493,0.997665,9.98307779e-03,6.90416233e-03,0.800819
14.3226,14,724.7963,116.42,168.26,18.5620,22.4332,0.998498,0.997672,9.91613287e-03,6.85786470e-03,0.800819
14.3707,14,722.3705,116.42,168.26,18.5621,22.4332,0.998503,0.997680,9.84985804e-03,6.81203080e-03,0.800819
14.4188,14,719.9609,116.42,168.27,18.5621,22.4333,0.998508,0.997688,9.78424581e-03,6.76665480e-03,0.800819
14.4669,14,717.5674,116.43,168.27,18.5621,22.4333,0.998513,0.997696,9.71928715e-03,6.72173109e-03,0.800819
14.5150,15,766.2747,124.72,180.25,18.5611,22.4318,0.998290,0.997350,1.10840790e-02,7.66558675e-03,0.800819
14.5631,15,763.7440,124.72,180.25,18.5611,22.4318,0.998296,0.997359,1.10109743e-02,7.61502949e-03,0.800819
14.6112,15,761.2299,124.72,180.25,18.5612,22.4318,0.998301,0.997367,1.09385902e-02,7.56497055e-03,0.800819
14.6593,15,758.7324,124.73,180.25,18.5612,22.4319,0.998307,0.997376,1.08669170e-02,7.51540323e-03,0.800819
14.7074,15,756.2512,124.73,180.25,18.5612,22.4319,0.998312,0.997385,1.07959467e-02,7.46632200e-03,0.800819
14.7555,15,753.7862,124.73,180.25,18.5612,22.4320,0.998318,0.997393,1.07256693e-02,7.41771991e-03,0.800819
14.8036,15,751.3371,124.73,180.25,18.5613,22.4320,0.998323,0.997402,1.06560756e-02,7.36959073e-03,0.800819
14.8517,15,748.9040,124.73,180.25,18.5613,22.4320,0.998329,0.997410,1.05871572e-02,7.32192843e-03,0.800819
14.8998,15,746.4866,124.73,180.26,18.5613,22.4321,0.998334,0.997418,1.05189050e-02,7.27472700e-03,0.800819
14.9479,15,744.0847,124.73,180.26,18.5613,22.4321,0.998339,0.997427,1.04513111e-02,7.22798062e-03,0.800819
14.9960,15,741.6982,124.73,180.26,18.5614,22.4321,0.998345,0.997435,1.03843662e-02,7.18168332e-03,0.800819
15.0441,15,739.3270,124.73,180.26,18.5614,22.4322,0.998350,0.997443,1.03180628e-02,7.13582950e-03,0.800819
15.0922,15,736.9709,124.73,180.26,18.5614,22.4322,0.998355,0.997451,1.02523925e-02,7.09041360e-03,0.800819
15.1403,15,734.6297,124.73,180.26,18.5614,22.4323,0.998361,0.997459,1.01873471e-02,7.04542983e-03,0.800819
15.1884,15,732.3034,124.73,180.26,18.5615,22.4323,0.998366,0.997467,1.01229181e-02,7.00087232e-03,0.800819
15.2365,15,729.9918,124.73,180.26,18.5615,22.4323,0.998371,0.997475,1.00590995e-02,6.95673696e-03,0.800819
15.2846,15,727.6947,124.73,180.26,18.5615,22.4324,0.998376,0.997483,9.99588149e-03,6.91301708e-03,0.800819
15.3327,15,725.4120,124.73,180.26,18.5615,22.4324,0.998381,0.997491,9.93325807e-03,6.86970813e-03,0.800819
15.3808,15,723.1436,124.73,180.26,18.5616,22.4324,0.998386,0.997499,9.87122159e-03,6.82680519e-03,0.800819
15.4289,15,720.8894,124.73,180.27,18.5616,22.4325,0.998391,0.997507,9.80976391e-03,6.78430247e-03,0.800819
15.4770,15,718.6492,124.73,180.27,18.5616,22.4325,0.998396,0.997515,9.74887878e-03,6.74219584e-03,0.800819
15.5251,16,764.1843,133.03,192.24,18.5606,22.4310,0.998173,0.997168,1.10239896e-02,7.62403053e-03,0.800819
15.5731,16,761.8242,133.03,192.25,18.5607,22.4310,0.998178,0.997177,1.09559883e-02,7.57700258e-03,0.800819
15.6212,16,759.4786,133.03,192.25,18.5607,22.4311,0.998184,0.997186,1.08886139e-02,7.53040833e-03,0.800819
15.6693,16,757.1475,133.03,192.25,18.5607,22.4311,0.998190,0.997195,1.08218593e-02,7.48424248e-03,0.800819
15.7174,16,754.8305,133.03,192.25,18.5607,22.4311,0.998195,0.997203,1.07557174e-02,7.43850043e-03,0.800819
15.7655,16,752.5278,133.03,192.25,18.5608,22.4312,0.998201,0.997212,1.06901799e-02,7.39317629e-03,0.800819
15.8136,16,750.2390,133.03,192.25,18.5608,22.4312,0.998206,0.997220,1.06252392e-02,7.34826500e-03,0.800819
15.8617,16,747.9641,133.03,192.25,18.5608,22.4313,0.998212,0.997228,1.05608886e-02,7.30376181e-03,0.800819
15.9098,16,745.7030,133.03,192.25,18.5608,22.4313,0.998217,0.997237,1.04971203e-02,7.25966129e-03,0.800819
15.9579,16,743.4555,133.03,192.25,18.5609,22.4313,0.998222,0.997245,1.04339282e-02,7.21595918e-03,0.800819
16.0060,16,741.2215,133.03,192.25,18.5609,22.4314,0.998228,0.997254,1.03713048e-02,7.17265042e-03,0.800819
16.0541,16,739.0009,133.03,192.26,18.5609,22.4314,0.998233,0.997262,1.03092439e-02,7.12973057e-03,0.800819
16.1022,16,736.7935,133.03,192.26,18.5609,22.4314,0.998238,0.997270,1.02477383e-02,7.08719487e-03,0.800819
16.1503,16,734.5993,133.04,192.26,18.5609,22.4315,0.998244,0.997278,1.01867815e-02,7.04503871e-03,0.800819
16.1984,16,732.4182,133.04,192.26,18.5610,22.4315,0.998249,0.997286,1.01263671e-02,7.00325771e-03,0.800819
16.2465,16,730.2499,133.04,192.26,18.5610,22.4316,0.998254,0.997294,1.00664881e-02,6.96184693e-03,0.800819
16.2946,16,728.0945,133.04,192.26,18.5610,22.4316,0.998259,0.997302,1.00071392e-02,6.92080245e-03,0.800819
16.3427,16,725.9517,133.04,192.26,18.5610,22.4316,0.998264,0.997310,9.94831271e-03,6.88011957e-03,0.800819
16.3908,16,723.8215,133.04,192.26,18.5611,22.4317,0.998269,0.997318,9.89000435e-03,6.83979497e-03,0.800819
16.4389,16,721.7038,133.04,192.26,18.5611,22.4317,0.998274,0.997326,9.83220660e-03,6.79982347e-03,0.800819
16.4870,16,719.5984,133.04,192.26,18.5611,22.4317,0.998279,0.997334,9.77491498e-03,6.76020178e-03,0.800819
16.5351,17,762.3494,141.33,204.24,18.5601,22.4302,0.998056,0.996987,1.09714108e-02,7.58766827e-03,0.800819
16.5832,17,760.1383,141.33,204.24,18.5602,22.4302,0.998061,0.996996,1.09078491e-02,7.54371084e-03,0.800819
16.6313,17,757.9401,141.33,204.24,18.5602,22.4303,0.998067,0.997004,1.08448379e-02,7.50013376e-03,0.800819
16.6794,17,755.7545,141.33,204.24,18.5602,22.4303,0.998072,0.997013,1.07823713e-02,7.45693361e-03,0.800819
16.7275,17,753.5815,141.34,204.24,18.5602,22.4304,0.998078,0.997022,1.07204429e-02,7.41410547e-03,0.800819
16.7756,17,751.4209,141.34,204.24,18.5603,22.4304,0.998084,0.997030,1.06590464e-02,7.37164514e-03,0.800819
16.8236,17,749.2727,141.34,204.24,18.5603,22.4304,0.998089,0.997039,1.05981761e-02,7.32954903e-03,0.800819
16.8717,17,747.1368,141.34,204.25,18.5603,22.4305,0.998094,0.997047,1.05378251e-02,7.28781168e-03,0.800819
16.9198,17,745.0130,141.34,204.25,18.5603,22.4305,0.998100,0.997055,1.04779885e-02,7.24643021e-03,0.800819
16.9679,17,742.9012,141.34,204.25,18.5604,22.4306,0.998105,0.997064,1.04186602e-02,7.20540030e-03,0.800819
17.0160,17,740.8014,141.34,204.25,18.5604,22.4306,0.998111,0.997072,1.03598342e-02,7.16471768e-03,0.800819
17.0641,17,738.7134,141.34,204.25,18.5604,22.4306,0.998116,0.997080,1.03015051e-02,7.12437865e-03,0.800819
17.1122,17,736.6371,141.34,204.25,18.5604,22.4307,0.998121,0.997088,1.02436678e-02,7.08437987e-03,0.800819
17.1603,17,734.5725,141.34,204.25,18.5605,22.4307,0.998127,0.997097,1.01863155e-02,7.04471641e-03,0.800819
17.2084,17,732.5194,141.34,204.25,18.5605,22.4307,0.998132,0.997105,1.01294432e-02,7.00538498e-03,0.800819
17.2565,17,730.4778,141.34,204.25,18.5605,22.4308,0.998137,0.997113,1.00730469e-02,6.96638274e-03,0.800819
17.3046,17,728.4475,141.34,204.26,18.5605,22.4308,0.998142,0.997121,1.00171193e-02,6.92770463e-03,0.800819
17.3527,17,726.4285,141.34,204.26,18.5605,22.4308,0.998147,0.997129,9.96165680e-03,6.88934788e-03,0.800819
17.4008,17,724.4206,141.34,204.26,18.5606,22.4309,0.998152,0.997137,9.90665352e-03,6.85130911e-03,0.800819
17.4489,17,722.4239,141.34,204.26,18.5606,22.4309,0.998158,0.997145,9.85210463e-03,6.81358449e-03,0.800819
17.4970,17,720.4380,141.34,204.26,18.5606,22.4310,0.998163,0.997153,9.79800485e-03,6.77617024e-03,0.800819
17.5451,18,760.7256,149.64,216.23,18.5596,22.4294,0.997939,0.996805,1.09250232e-02,7.55558794e-03,0.800819
17.5932,18,758.6460,149.64,216.23,18.5597,22.4295,0.997944,0.996814,1.08653582e-02,7.51432519e-03,0.800819
17.6413,18,756.5776,149.64,216.23,18.5597,22.4295,0.997950,0.996823,1.08061805e-02,7.47339931e-03,0.800819
17.6894,18,754.5206,149.64,216.23,18.5597,22.4295,0.997955,0.996831,1.07474852e-02,7.43280708e-03,0.800819
17.7375,18,752.4746,149.64,216.23,18.5597,22.4296,0.997961,0.996840,1.06892662e-02,7.39254442e-03,0.800819
17.7856,18,750.4398,149.64,216.24,18.5598,22.4296,0.997966,0.996849,1.06315194e-02,7.35260822e-03,0.800819
17.8337,18,748.4159,149.64,216.24,18.5598,22.4297,0.997972,0.996857,1.05742390e-02,7.31299461e-03,0.800819
17.8818,18,746.4029,149.64,216.24,18.5598,22.4297,0.997977,0.996866,1.05174208e-02,7.27370060e-03,0.800819
17.9299,18,744.4007,149.64,216.24,18.5598,22.4297,0.997983,0.996874,1.04610583e-02,7.23472176e-03,0.800819
17.9780,18,742.4092,149.64,216.24,18.5599,22.4298,0.997988,0.996882,1.04051489e-02,7.19605609e-03,0.800819
18.0261,18,740.4283,149.64,216.24,18.5599,22.4298,0.997994,0.996891,1.03496862e-02,7.15769962e-03,0.800819
18.0741,18,738.4580,149.64,216.24,18.5599,22.4299,0.997999,0.996899,1.02946653e-02,7.11964851e-03,0.800819
18.1222,18,736.4982,149.64,216.24,18.5599,22.4299,0.998004,0.996907,1.02400822e-02,7.08190021e-03,0.800819
18.1703,18,734.5487,149.64,216.24,18.5600,22.4299,0.998009,0.996915,1.01859316e-02,7.04445099e-03,0.800819
18.2184,18,732.6095,149.64,216.25,18.5600,22.4300,0.998015,0.996924,1.01322099e-02,7.00729833e-03,0.800819
18.2665,18,730.6805,149.64,216.25,18.5600,22.4300,0.998020,0.996932,1.00789120e-02,6.97043887e-03,0.800819
18.3146,18,728.7617,149.64,216.25,18.5600,22.4300,0.998025,0.996940,1.00260332e-02,6.93386912e-03,0.800819
18.3627,18,726.8529,149.65,216.25,18.5601,22.4301,0.998030,0.996948,9.97357032e-03,6.89758713e-03,0.800819
18.4108,18,724.9541,149.65,216.25,18.5601,22.4301,0.998036,0.996956,9.92151764e-03,6.86158873e-03,0.800819
18.4589,18,723.0651,149.65,216.25,18.5601,22.4301,0.998041,0.996964,9.86987102e-03,6.82587121e-03,0.800819
18.5070,19,761.2519,157.94,228.22,18.5591,22.4286,0.997816,0.996615,1.09404568e-02,7.56626145e-03,0.800819
18.5551,19,759.2787,157.94,228.22,18.5591,22.4287,0.997822,0.996624,1.08837997e-02,7.52707877e-03,0.800819
18.6032,19,757.3157,157.94,228.22,18.5592,22.4287,0.997827,0.996633,1.08275826e-02,7.48820050e-03,0.800819
18.6513,19,755.3628,157.94,228.22,18.5592,22.4287,0.997833,0.996641,1.07717987e-02,7.44962179e-03,0.800819
18.6994,19,753.4199,157.94,228.22,18.5592,22.4288,0.997838,0.996650,1.07164455e-02,7.41134099e-03,0.800819
18.7475,19,751.4871,157.94,228.22,18.5592,22.4288,0.997844,0.996659,1.06615173e-02,7.37335410e-03,0.800819
18.7956,19,749.5641,157.94,228.23,18.5593,22.4288,0.997849,0.996667,1.06070111e-02,7.33565893e-03,0.800819
18.8437,19,747.6509,157.94,228.23,18.5593,22.4289,0.997855,0.996676,1.05529214e-02,7.29825176e-03,0.800819
18.8918,19,745.7475,157.94,228.23,18.5593,22.4289,0.997860,0.996684,1.04992442e-02,7.26113009e-03,0.800819
18.9399,19,743.8537,157.94,228.23,18.5593,22.4290,0.997866,0.996693,1.04459756e-02,7.22429088e-03,0.800819
18.9880,19,741.9696,157.94,228.23,18.5594,22.4290,0.997871,0.996701,1.03931115e-02,7.18773138e-03,0.800819
19.0361,19,740.0949,157.94,228.23,18.5594,22.4290,0.997877,0.996709,1.03406477e-02,7.15144868e-03,0.800819
19.0842,19,738.2297,157.94,228.23,18.5594,22.4291,0.997882,0.996718,1.02885801e-02,7.11544011e-03,0.800819
19.1323,19,736.3739,157.94,228.23,18.5594,22.4291,0.997887,0.996726,1.02369047e-02,7.07970254e-03,0.800819
19.1804,19,734.5274,157.95,228.23,18.5595,22.4291,0.997892,0.996734,1.01856179e-02,7.04423396e-03,0.800819
19.2285,19,732.6901,157.95,228.24,18.5595,22.4292,0.997898,0.996742,1.01347152e-02,7.00903082e-03,0.800819
19.2766,19,730.8620,157.95,228.24,18.5595,22.4292,0.997903,0.996750,1.00841932e-02,6.97409110e-03,0.800819
19.3246,19,729.0430,157.95,228.24,18.5595,22.4293,0.997908,0.996758,1.00340478e-02,6.93941182e-03,0.800819
19.3727,19,727.2330,157.95,228.24,18.5596,22.4293,0.997913,0.996766,9.98427607e-03,6.90499089e-03,0.800819
19.4208,19,725.4320,157.95,228.24,18.5596,22.4293,0.997919,0.996774,9.93487340e-03,6.87082527e-03,0.800819
19.4689,19,723.6399,157.95,228.24,18.5596,22.4294,0.997924,0.996782,9.88583689e-03,6.83691281e-03,0.800819
19.5170,20,759.8491,166.24,240.20,18.5586,22.4278,0.997699,0.996434,1.09004686e-02,7.53860661e-03,0.800819
19.5651,20,757.9812,166.24,240.21,18.5587,22.4279,0.997704,0.996442,1.08469286e-02,7.50157966e-03,0.800819
19.6132,20,756.1224,166.24,240.21,18.5587,22.4279,0.997710,0.996451,1.07937826e-02,7.46482539e-03,0.800819
19.6613,20,754.2728,166.24,240.21,18.5587,22.4280,0.997716,0.996460,1.07410256e-02,7.42834008e-03,0.800819
19.7094,20,752.4321,166.24,240.21,18.5587,22.4280,0.997721,0.996468,1.06886547e-02,7.39212154e-03,0.800819
19.7575,20,750.6005,166.24,240.21,18.5588,22.4280,0.997727,0.996477,1.06366658e-02,7.35616734e-03,0.800819
19.8056,20,748.7777,166.24,240.21,18.5588,22.4281,0.997732,0.996486,1.05850552e-02,7.32047471e-03,0.800819
19.8537,20,746.9638,166.24,240.21,18.5588,22.4281,0.997738,0.996494,1.05338196e-02,7.28504158e-03,0.800819
19.9018,20,745.1586,166.24,240.21,18.5588,22.4281,0.997743,0.996503,1.04829551e-02,7.24986489e-03,0.800819
19.9499,20,743.3621,166.24,240.22,18.5589,22.4282,0.997749,0.996511,1.04324577e-02,7.21494226e-03,0.800819
19.9980,20,741.5743,166.24,240.22,18.5589,22.4282,0.997754,0.996520,1.03823242e-02,7.18027111e-03,0.800819
20.0461,20,739.7951,166.24,240.22,18.5589,22.4283,0.997759,0.996528,1.03325523e-02,7.14585020e-03,0.800819
20.0942,20,738.0243,166.24,240.22,18.5589,22.4283,0.997765,0.996536,1.02831364e-02,7.11167522e-03,0.800819
20.1423,20,736.2621,166.25,240.22,18.5589,22.4283,0.997770,0.996544,1.02340743e-02,7.07774526e-03,0.800819
20.1904,20,734.5082,166.25,240.22,18.5590,22.4284,0.997775,0.996553,1.01853633e-02,7.04405799e-03,0.800819
20.2385,20,732.7626,166.25,240.22,18.5590,22.4284,0.997781,0.996561,1.01369981e-02,7.01060974e-03,0.800819
20.2866,20,731.0254,166.25,240.22,18.5590,22.4284,0.997786,0.996569,1.00889773e-02,6.97739981e-03,0.800819
20.3347,20,729.2963,166.25,240.23,18.5590,22.4285,0.997791,0.996577,1.00412965e-02,6.94442479e-03,0.800819
20.3828,20,727.5755,166.25,240.23,18.5591,22.4285,0.997796,0.996585,9.99395340e-03,6.91168361e-03,0.800819
20.4309,20,725.8627,166.25,240.23,18.5591,22.4286,0.997802,0.996593,9.94694441e-03,6.87917326e-03,0.800819
20.4790,20,724.1579,166.25,240.23,18.5591,22.4286,0.997807,0.996601,9.90026568e-03,6.84689133e-03,0.800819
20.5271,21,758.5843,174.54,252.19,18.5581,22.4271,0.997582,0.996252,1.08645067e-02,7.51373639e-03,0.800819
20.5752,21,756.8110,174.54,252.19,18.5582,22.4271,0.997587,0.996261,1.08137585e-02,7.47864009e-03,0.800819
20.6232,21,755.0460,174.54,252.19,18.5582,22.4271,0.997593,0.996270,1.07633663e-02,7.44379027e-03,0.800819
20.6713,21,753.2892,174.54,252.19,18.5582,22.4272,0.997599,0.996278,1.07133247e-02,7.40918263e-03,0.800819
20.7194,21,751.5406,174.54,252.19,18.5582,22.4272,0.997604,0.996287,1.06636322e-02,7.37481660e-03,0.800819
20.7675,21,749.8001,174.54,252.19,18.5583,22.4273,0.997610,0.996296,1.06142838e-02,7.34068871e-03,0.800819
20.8156,21,748.0676,174.54,252.20,18.5583,22.4273,0.997615,0.996304,1.05652771e-02,7.30679674e-03,0.800819
20.8637,21,746.3431,174.54,252.20,18.5583,22.4273,0.997621,0.996313,1.05166093e-02,7.27313943e-03,0.800819
20.9118,21,744.6266,174.54,252.20,18.5583,22.4274,0.997626,0.996321,1.04682772e-02,7.23971415e-03,0.800819
20.9599,21,742.9179,174.54,252.20,18.5584,22.4274,0.997632,0.996330,1.04202771e-02,7.20651842e-03,0.800819
21.0080,21,741.2171,174.54,252.20,18.5584,22.4274,0.997637,0.996338,1.03726069e-02,7.17355087e-03,0.800819
21.0561,21,739.5240,174.54,252.20,18.5584,22.4275,0.997642,0.996346,1.03252623e-02,7.14080850e-03,0.800819
21.1042,21,737.8386,174.54,252.20,18.5584,22.4275,0.997648,0.996355,1.02782416e-02,7.10829015e-03,0.800819
21.1523,21,736.1609,174.55,252.21,18.5585,22.4276,0.997653,0.996363,1.02315415e-02,7.07599361e-03,0.800819
21.2004,21,734.4908,174.55,252.21,18.5585,22.4276,0.997658,0.996371,1.01851589e-02,7.04391648e-03,0.800819
21.2485,21,732.8283,174.55,252.21,18.5585,22.4276,0.997664,0.996380,1.01390909e-02,7.01205708e-03,0.800819
21.2966,21,731.1733,174.55,252.21,18.5585,22.4277,0.997669,0.996388,1.00933348e-02,6.98041340e-03,0.800819
21.3447,21,729.5257,174.55,252.21,18.5585,22.4277,0.997674,0.996396,1.00478871e-02,6.94898274e-03,0.800819
21.3928,21,727.8856,174.55,252.21,18.5586,22.4277,0.997679,0.996404,1.00027467e-02,6.91776485e-03,0.800819
21.4409,21,726.2528,174.55,252.21,18.5586,22.4278,0.997685,0.996412,9.95790901e-03,6.88675607e-03,0.800819
21.4890,21,724.6273,174.55,252.21,18.5586,22.4278,0.997690,0.996420,9.91337246e-03,6.85595585e-03,0.800819
21.5371,22,757.4381,182.84,264.17,18.5576,22.4263,0.997465,0.996071,1.08319951e-02,7.49125206e-03,0.800819
21.5852,22,755.7503,182.84,264.17,18.5577,22.4263,0.997470,0.996080,1.07837641e-02,7.45789668e-03,0.800819
21.6333,22,754.0701,182.84,264.17,18.5577,22.4264,0.997476,0.996088,1.07358540e-02,7.42476341e-03,0.800819
21.6814,22,752.3974,182.84,264.17,18.5577,22.4264,0.997481,0.996097,1.06882626e-02,7.39185038e-03,0.800819
21.7295,22,750.7320,182.84,264.18,18.5577,22.4264,0.997487,0.996106,1.06409872e-02,7.35915593e-03,0.800819
21.7776,22,749.0740,182.84,264.18,18.5578,22.4265,0.997493,0.996114,1.05940242e-02,7.32667765e-03,0.800819
21.8257,22,747.4233,182.84,264.18,18.5578,22.4265,0.997498,0.996123,1.05473718e-02,7.29441392e-03,0.800819
21.8737,22,745.7798,182.84,264.18,18.5578,22.4266,0.997504,0.996131,1.05010265e-02,7.26236265e-03,0.800819
21.9218,22,744.1436,182.84,264.18,18.5578,22.4266,0.997509,0.996140,1.04549864e-02,7.23052254e-03,0.800819
21.9699,22,742.5145,182.84,264.18,18.5579,22.4266,0.997515,0.996148,1.04092484e-02,7.19889134e-03,0.800819
22.0180,22,740.8926,182.84,264.18,18.5579,22.4267,0.997520,0.996157,1.03638098e-02,7.16746702e-03,0.800819
