d_pdms_mm,T_one_wall,T_two_walls,T_two_walls_dB,amp_L,amp_R,effective_contrast,effective_contrast_dB,min_force_norm
14.2714,2.689192,7.23175130,8.5924,1.639875,1.639875,1000000.00,68.24,2.689192
14.3442,2.878035,8.28308693,9.1819,1.696477,1.696477,1000000.00,68.24,2.878035
14.4171,3.236851,10.47720132,10.2025,1.799125,1.799125,1000000.00,68.24,3.236851
14.4899,3.681262,13.55168972,11.3199,1.918662,1.918662,1000000.00,68.24,3.681262
14.5628,3.993581,15.94868612,12.0272,1.998395,1.998395,1000000.00,68.24,3.993581
14.6357,3.947567,15.58328372,11.9266,1.986848,1.986848,1000000.00,68.24,3.947567
14.7085,3.592036,12.90272492,11.1068,1.895267,1.895267,1000000.00,68.24,3.592036
14.7814,3.181323,10.12081603,10.0522,1.783626,1.783626,1000000.00,68.24,3.181323
14.8543,2.895960,8.38658645,9.2359,1.701752,1.701752,1000000.00,68.24,2.895960
14.9271,2.796682,7.82143093,8.9329,1.672328,1.672328,1000000.00,68.24,2.796682
15.0000,2.896817,8.39154912,9.2384,1.702004,1.702004,1000000.00,68.24,2.896817
